EMPLID,Name,Term,Application Status,Major,Math - Majors 1st Math Course,Math - Majors 1st Math Code,Math - Math Placement Course,Math - Math Placement Code,Math - Math Placement Course Verified,Math - Math Placement Code Verified,Math - Math Placement Met,Math - Math Placement Met Long Description,Math - ESM 105 Eligible,Math - ESM 120 Eligible,College Coursework Exists,IMP - College Course,Math_Tests_Concatenate,Formula math_placement_2_calc_III_eligible,Formula math_placement_4_calc_II_eligible,Formula math_placement_8_calc_eligible,Formula math_placement_10_precalc_eligible,Formula math_score_exists,Application Math Category,College Math Status ERS,ELM Status ERS,HS Math GPA ERS,HS Math Units ERS,MAPE IA,MAPE PC,EAP,ACT Math,ACT Math SS,AP CALC AB,AP CALC BC,AP CSC P,AP STATS,IB AA,IB AI,Old SAT Math,SAT Math L1,SAT Math L2,SAT R Math Section,CLEP College Algebra,CLEP College Algebra/Trig,CLEP Trig,CLEP Precalc,CLEP Calc,Cambridge Math,MPAP Response,MPAP - Updated Date,IMP - Updated Date
2822,Jordan King,Fall 2025,Confirmed,BioResource and Agricultural Engineering,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,Verified: AP Calculus (AB) - 5,,4,8,10,Y,,0,A,,10,,,,,,5 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/03/2025 12:07,05/29/2025 10:05
2823,Quinn Wright,Fall 2025,Confirmed Completed,"Recreation, Parks, and Tourism Administration",MATH 118 - Precalculus Algebra,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,Y,N,Y,,,,,,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/08/2025 02:05,05/26/2025 11:05
2824,Rowan King,Fall 2025,Confirmed Completed,Computer Engineering,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,,,4,8,,N,,0,Z,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/11/2025 02:07,07/07/2025 04:07
2825,Taylor Wright,Fall 2025,Confirmed Completed,Biological Sciences,MATH 161 - Calculus for the Life Sciences I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,Verified: AP Calculus (AB) - 3,,4,,10,Y,,0,A,,10,,,,,,3 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/07/2025 12:07,07/07/2025 03:07
2826,Taylor Garcia,Fall 2025,Confirmed Completed,Agricultural Business,MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,Verified: AP Calculus (AB) - 2,,,,10,Y,,0,4,,8,,,,,,2 - Verified,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,05/07/2025 03:05,05/07/2025 01:05
2827,Jamie Garcia,Fall 2025,Confirmed,Manufacturing Engineering,MATH 141 - Calculus I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,,,,,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,05/29/2025 07:05,04/24/2025 04:04
2828,Morgan Brown,Fall 2025,Confirmed Completed,Architecture,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Calculus I or higher,"Verified: AP Calculus (AB) - 4
Verified: AP Statistics - 3
Verified: ACT Mathematics - 27
Verified: ACT Mathematics - 27
Verified: SATR Math Section Score - 720",,4,8,10,Y,,0,A,,10,,,,27 - Verified;27 - Verified;Self-Reported,,4 - Verified,,,3 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/07/2025 02:07,04/11/2025 08:04
2829,Avery Smith,Fall 2025,Confirmed Completed,Interdisciplinary Studies,STAT 130 - Introduction to Statistical Reasoning OR STAT 217 - Introduction to Statistical Concepts and Methods OR STAT 218 Applied Statistics for the Life Sciences,10,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Calculus I or higher,"Verified: AP Calculus (BC): AB Subscore - 1
Verified: AP Calculus (BC) - 1
Verified: AP Calculus (AB) - 1
Verified: AP Computer Science (A) - 1",,4,8,,Y,,0,Z,,12,,,,,,1 - Verified,1 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/14/2025 01:07,05/14/2025 04:05
2830,Dakota Hall,Fall 2025,Confirmed Completed,Food Science,MATH 141 - Calculus I,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,,,"Verified: AP Computer Science Principles - 3
Verified: AP Statistics - 2",,,8,10,Y,,0,4,,12,,Verified,,,,,,,2 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/08/2025 03:05,04/30/2025 10:04
2831,Casey King,Fall 2025,Confirmed Completed,Journalism,STAT 130 - Introduction to Statistical Reasoning OR STAT 217 - Introduction to Statistical Concepts and Methods OR STAT 218 Applied Statistics for the Life Sciences OR STAT 251 - Statistical Inference for Management I,10,MATH 115 - Stretch Precalculus Algebra I,16,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,N,,,,,,,,N,,0,12,,8,,,,,,,,,,,,,,,,,,,,,,,,
2832,Rowan Nguyen,Fall 2025,Confirmed Completed,Physics,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Precalculus,"Verified: AP Statistics - 5
Verified: AP Calculus (BC) - 5
Verified: AP Calculus (BC): AB Subscore - 5
Verified: AP Calculus (AB) - 5
Verified: SATR Math Section Score - 740",2,4,8,10,Y,,0,A,,8,,,,,,5 - Verified,5 - Verified,,5 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/23/2025 09:05,05/15/2025 09:05
2833,Peyton Garcia,Fall 2025,Confirmed Completed,Liberal Studies,MATH 227 - Mathematics for Elementary Teaching I,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,,,,,,,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/07/2025 12:07,05/10/2025 03:05
2834,Jules Torres,Fall 2025,Confirmed Completed,Construction Management,MATH 141 - Calculus I,8,MATH 115 - Stretch Precalculus Algebra I,16,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,N,Y,,,,,,,N,,0,X,,11,,Verified,,,,,,,,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,06/09/2025 12:06,05/14/2025 03:05
2835,Rowan Martinez,Fall 2025,Confirmed,Environmental Management and Protection,MATH 161 - Calculus for the Life Sciences I OR MATH 221 - Calculus for Business and Economics,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Precalculus,Verified: AP Calculus (AB) - 4,,4,8,10,Y,,0,A,,10,,,,,,4 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/03/2025 12:06,05/06/2025 12:05
2836,Quinn Hernandez,Fall 2025,Confirmed,Agricultural Business,MATH 221 - Calculus for Business and Economics,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Precalculus,"Verified: AP Calculus (AB) - 4
Verified: AP Statistics - 3",,4,8,10,Y,,0,A,,10,,,,,,4 - Verified,,,3 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/15/2025 03:06,06/10/2025 01:06
2837,Cameron Nguyen,Fall 2025,Confirmed Completed,Electrical Engineering,MATH 141 - Calculus I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,Verified: SATR Math Section Score - 590,,,,10,Y,,0,S,,10,,,,,,,,,,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,07/10/2025 04:07,03/18/2025 10:03
2838,Jules Lee,Fall 2025,Confirmed Completed,Electrical Engineering,MATH 141 - Calculus I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,Verified: AP Statistics - 1,,,,10,Y,,0,4,,10,,,,,,,,,1 - Verified,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,07/11/2025 08:07,05/06/2025 02:05
2839,Blake Clark,Fall 2025,Confirmed Completed,Software Engineering,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Statistics,"Verified: AP Calculus (BC): AB Subscore - 4
Verified: AP Computer Science Principles - 4
Verified: AP Calculus (BC) - 3",2,4,8,10,Y,,0,A,,14,,,,,,,3 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,04/23/2025 09:04,03/15/2025 01:03
2840,Quinn Garcia,Fall 2025,Confirmed Completed,Animal Science,Calculus Ready with MATH 118 - Precalculus Algebra,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Precalculus - 4
Verified: AP Statistics - 3",,,8,10,Y,,0,A,,10,,,,,,,,,3 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/25/2025 09:06,
2841,Quinn Hall,Fall 2025,Confirmed Completed,Architectural Engineering,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,,"Verified: AP Calculus (AB) - 5
Verified: AP Statistics - 4",,4,,10,Y,,0,A,,12,,,,,,5 - Verified,,,4 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/14/2025 01:06,06/14/2025 01:06
2842,Finley Martinez,Fall 2025,Confirmed Completed,History,a single course in GE area B4,10,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Calculus I or higher,"Verified: AP Calculus (AB) - 4
Verified: SATR Math Section Score - 730
Verified: SATR Math Section Score - 680",,4,8,10,Y,,0,A,,10,,,,,,4 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/27/2025 02:05,05/11/2025 10:05
2843,Jordan Nguyen,Fall 2025,Confirmed Completed,Art and Design,a single course in GE area B4,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,Y,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/16/2025 04:06,05/15/2025 11:05
2844,Jordan Allen,Summer 2025,Confirmed,Animal Science,Calculus Ready with MATH 118 - Precalculus Algebra,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,,,
2845,Jordan Nguyen,Fall 2025,Confirmed Completed,Agricultural Business,MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I will take MATH 118 Precalculus in the fall and understand that this decision may affect my coursework progress.,07/02/2025 01:07,06/22/2025 08:06
2846,Avery Garcia,Fall 2025,Confirmed Completed,Environmental Earth and Soil Sciences,STAT 218 - Applied Statistics for the Life Sciences,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,Y,,Verified: AP Statistics - 2,,,,10,Y,,0,4,,10,,,,,,,,,2 - Verified,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/03/2025 07:07,05/06/2025 06:05
2847,Jordan Brown,Fall 2025,Confirmed Completed,Computer Science,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Calculus I or higher,"Verified: AP Calculus (BC): AB Subscore - 5
Verified: AP Calculus (BC) - 5
Verified: AP Calculus (AB) - 5
Verified: AP Computer Science (A) - 4
Verified: AP Computer Science (A) - 3
Verified: SATR Math Section Score - 700",2,4,8,10,Y,,0,A,,14,,,,,,5 - Verified,5 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/06/2025 02:05,05/06/2025 02:05
2848,Dakota Garcia,Fall 2025,Confirmed,Psychology,STAT 217 - Introduction to Statistical Concepts and Methods,10,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,,,4,,10,N,,0,4,,12,,,,,,,,,,,,,,,,,,,,,,,,07/05/2025 10:07
2849,Blake Allen,Fall 2025,Confirmed,Anthropology and Geography,STAT 217 - Introduction to Statistical Concepts and Methods,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,Y,,,,,,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,,,
2850,Casey Davis,Fall 2025,Confirmed Completed,Political Science,STAT 217 - Introduction to Statistical Concepts and Methods,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,Y,N,Y,,,,,,10,N,,0,4,,12,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/07/2025 08:06,05/12/2025 01:05
2851,Rowan Rivera,Fall 2025,Confirmed Completed,Computer Science,MATH 141 - Calculus I,8,Calculus III,2,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,"Verified: AP Calculus (BC) - 5
Verified: AP Calculus (BC): AB Subscore - 5
Verified: AP Computer Science (A) - 5
Verified: SATR Math Section Score - 800
Verified: SATR Math Section Score - 800",2,4,8,10,Y,,0,A,,12,,,,,,,5 - Verified,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/22/2025 10:05,05/22/2025 10:05
2852,Quinn King,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Calculus I or higher,Verified: AP Calculus (AB) - 4,,4,,10,Y,,0,A,,10,,,,,,4 - Verified,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,05/14/2025 12:05,05/13/2025 11:05
2853,Peyton Smith,Fall 2025,Confirmed Completed,City and Regional Planning,MATH 118 - Precalculus Algebra,10,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,Verified: AP Calculus (AB) - 5,,4,8,10,Y,,0,A,,10,,,,,,5 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/13/2025 05:06,05/15/2025 12:05
2854,Taylor Nguyen,Fall 2025,Confirmed Completed,Agricultural Business,MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,,,,,10,N,,0,X,,11,,,,,,,,,,,,,,,,,,,,,,,,
2855,Quinn Nguyen,Fall 2025,Confirmed Completed,Political Science,STAT 217 - Introduction to Statistical Concepts and Methods,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,Y,N,Y,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/18/2025 04:05,04/09/2025 01:04
2856,Blake King,Fall 2025,Confirmed,Mechanical Engineering,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Precalculus - 5
Verified: AP Calculus (AB) - 3",,4,8,10,Y,,0,A,,8,,,,,,3 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/29/2025 07:05,05/27/2025 01:05
2857,Jules Martinez,Fall 2025,Confirmed Completed,Nutrition,Calculus Ready with MATH 118 - Precalculus Algebra,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Placement Verified w/Final Documentation,N,N,,,Verified: SATR Math Section Score - 660,,,8,10,Y,,0,S,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/16/2025 09:05,05/16/2025 04:05
2858,Blake Clark,Fall 2025,Confirmed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,Statistics,,,,,10,N,,0,4,,9,,,,,,,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,06/06/2025 06:06,05/16/2025 03:05
2859,Logan Smith,Fall 2025,Confirmed Completed,Animal Science,Calculus Ready with MATH 118 - Precalculus Algebra,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,,,,,10,N,,0,4,,9,,,,,,,,,,,,,,,,,,,,,,,,06/05/2025 11:06
2860,Reese Lee,Fall 2025,Confirmed Completed,Public Health,Calculus Ready with STAT 218 - Applied Statistics for the Life Sciences,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,Verified: AP Statistics - 3,,,,10,Y,,0,A,,12,,,,,,,,,3 - Verified,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,06/13/2025 06:06,05/19/2025 01:05
2861,Jamie Martinez,Fall 2025,Confirmed Completed,Animal Science,Calculus Ready with MATH 118 - Precalculus Algebra,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,Verified: AP Computer Science (A) - 1,,,,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,,,07/10/2025 07:07
2862,Riley Rivera,Fall 2025,Confirmed Completed,Architecture,MATH 141 - Calculus I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,,"Verified: AP Statistics - 3
Verified: AP Calculus (AB) - 2",,,,10,Y,,0,A,,12,,,,,,2 - Verified,,,3 - Verified,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,06/15/2025 01:06,05/10/2025 02:05
2863,Morgan Nguyen,Fall 2025,Confirmed Completed,Dairy Science,Calculus Ready with MATH 118 - Precalculus Algebra,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,06/30/2025 12:06,03/20/2025 07:03
2864,Avery Allen,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,Statistics,"Verified: AP Statistics - 3
Verified: AP Computer Science Principles - 3",,,,10,Y,,0,A,,10,,,,,,,,,3 - Verified,,,,,,,,,,,,,I will take the MAPE remotely before August 31 (it is strongly advised that students complete the exam before July 10).,06/14/2025 10:06,05/12/2025 07:05
2865,Casey Brown,Fall 2025,Confirmed,Psychology,STAT 217 - Introduction to Statistical Concepts and Methods,10,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Precalculus,,,,8,10,N,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/03/2025 01:06,05/06/2025 12:05
2866,Morgan Baker,Fall 2025,Confirmed Completed,Biological Sciences,MATH 161 - Calculus for the Life Sciences I,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Precalculus,Verified: AP Calculus (AB) - 2,,,8,10,Y,,0,4,,8,,,,,,2 - Verified,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/01/2025 01:06,04/30/2025 11:04
2867,Taylor King,Fall 2025,Confirmed Completed,Agricultural Business,MATH 221 - Calculus for Business and Economics,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,,"Verified: AP Calculus (AB) - 3
Verified: SATR Math Section Score - 620
Verified: SATR Math Section Score - 500",,4,8,10,Y,,0,A,,10,,,,,,3 - Verified,,,,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Calculus I (MATH 141 or equivalent) eligibility by the July 15 deadline.,05/27/2025 01:05,05/23/2025 07:05
2868,Skyler Lopez,Fall 2025,Confirmed,"Recreation, Parks, and Tourism Administration",MATH 118 - Precalculus Algebra,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,Y,,Self-Reported: AP Computer Science Principles - 3,,,,10,Y,,0,4,,12,,,,,,,,,Self-Reported,,,,,,,,,,,,,,,05/06/2025 01:05
2869,Elliot Garcia,Fall 2025,Confirmed Completed,Architecture,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,,Calculus I or higher,,,4,8,10,N,,0,4,,10,,Verified,,,,,,,,,,,,,,,,,,,,,,06/22/2025 01:06
2870,Avery Baker,Fall 2025,Confirmed Completed,Plant Sciences,Calculus Ready with MATH 118 - Precalculus Algebra,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Precalculus,Verified: SATR Math Section Score - 500,,,8,10,Y,,0,4,,10,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,05/01/2025 03:05,03/17/2025 01:03
2871,Jordan King,Fall 2025,Confirmed Completed,Animal Science,Calculus Ready with MATH 118 - Precalculus Algebra,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,Y,Statistics,,,,,10,N,,0,4,,9,,,,,,,,,,,,,,,,,,,,,,I will take MATH 118 Precalculus in the fall and understand that this decision may affect my coursework progress.,06/12/2025 12:06,05/16/2025 01:05
2872,Jordan Lopez,Fall 2025,Confirmed Completed,Industrial Engineering,MATH 141 - Calculus I,8,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,N,Does Not Meet Placement,Y,Y,,,"Verified: AP Statistics - 2
Verified: AP Calculus (AB) - 2
Verified: AP Computer Science (A) - 1",,,,10,Y,,0,4,,14,,,,,,2 - Verified,,,2 - Verified,,,,,,,,,,,,,I will take MATH 118 Precalculus in the fall and understand that this decision may affect my coursework progress.,06/13/2025 06:06,06/05/2025 11:06
2873,Blake Torres,Fall 2025,Confirmed,Computer Science,MATH 141 - Calculus I,8,Calculus II,4,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Calculus I or higher,Verified: SATR Math Section Score - 700,,4,8,10,Y,,0,4,,14,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,06/05/2025 01:06,04/15/2025 10:04
2874,Logan Smith,Fall 2025,Confirmed,Graphic Communication,MATH 118 - Precalculus Algebra,10,Precalculus Algebra or Statistics,10,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,Y,N,Y,,,,,,10,N,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,,,
2875,Peyton Scott,Fall 2025,Confirmed Completed,Agricultural Business,MATH 221 - Calculus for Business and Economics,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Precalculus,"Verified: AP Statistics - 3
Verified: AP Computer Science Principles - 2",,,8,10,Y,,0,A,,14,,,,,,,,,3 - Verified,,,,,,,,,,,,,I will/have send a standardized test score or transcript to demonstrate Precalculus (MATH 118 or equivalent) or higher eligibility by the July 15 deadline.,04/20/2025 09:04,07/10/2025 07:07
2876,Riley Johnson,Fall 2025,Confirmed Completed,Business Administration,MATH 221 - Calculus for Business and Economics,8,Calculus I or Equivalent,8,MATH 115 - Stretch Precalculus Algebra I,16,Y,Meets Placement Pending Final Documentation,N,N,Y,Precalculus,Verified: AP Computer Science Principles - 3,,,8,10,Y,,0,4,,8,,,,,,,,,,,,,,,,,,,,,,I understand that I need to send a standardized test score/s or transcript/s to demonstrate my Math Readiness by the July 15 deadline.,07/09/2025 05:07,05/14/2025 11:05
